BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,9563,9563,9563
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,9551,9551,9551
Contact period start time (s):,0,0,0
Contact period end time (s):,9.551,9.551,9.551
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:27:20",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.549,4.256659,3.924445,0.464531
0.55,4.377697,3.844133,-1.119559
0.551,4.055228,3.924888,1.097829
0.552,4.216654,3.84502,-0.639453
0.553,4.337564,3.844133,-0.486242
0.554,4.458346,3.764708,1.41651
0.555,4.135749,3.522885,0.631782
0.556,4.377824,3.843245,0.780612
0.557,4.014328,3.804643,0.31291
0.558,4.216526,3.723887,-0.158674
0.559,4.49899,3.963935,1.573842
0.56,4.256915,3.763821,0.307999
0.561,4.014967,3.804643,-0.484904
0.562,4.256531,3.723887,-0.165175
0.563,4.256659,3.805086,0.309154
0.564,4.256659,3.84502,0.46926
0.565,4.37808,3.84502,0.464657
0.566,4.216142,3.765152,-0.478655
0.567,4.417829,3.964822,1.10144
0.568,4.337308,3.604085,0.628663
0.569,4.377441,3.844133,0.785032
0.57,4.33718,4.0052,0.942452
0.571,4.417829,3.724331,0.94742
0.572,4.135238,3.603197,0.145976
0.573,4.538484,3.764265,0.152024
0.574,4.377697,3.805086,1.098984
0.575,4.377313,3.684397,0.150685
0.576,4.337308,3.925332,0.77962
0.577,4.377569,3.844576,0.626245
0.578,4.216654,3.804643,0.620179
0.579,4.377697,3.684397,-0.002526
0.58,4.377569,3.924001,0.945109
0.581,4.458474,4.004313,0.460593
0.582,4.297047,3.723887,-0.321563
0.583,4.176138,3.603197,-0.001062
0.584,4.337308,3.885398,-0.478529
0.585,4.458346,3.844133,-0.157701
0.586,4.538995,3.683065,0.465831
0.587,4.256403,3.563707,1.09832
0.588,4.297047,3.884954,0.624079
0.589,4.216526,3.884511,-0.638606
0.59,4.418213,3.885398,-0.636891
0.591,4.216526,3.644463,-0.003681
0.592,4.377441,3.683065,0.152496
0.593,4.337052,3.722555,0.466659
0.594,4.418085,3.804643,-0.326763
0.595,4.21627,3.523329,-0.326964
0.596,4.659777,3.805086,-0.317143
0.597,4.337436,3.84502,-0.323517
0.598,4.257042,3.644019,-0.320388
0.599,4.256915,3.604529,-0.482449
0.6,4.297047,3.482063,0.469895
0.601,4.216782,3.804199,-0.478529
0.602,4.377569,3.684841,-0.159993
0.603,4.579512,3.764265,1.260862
0.604,4.337052,3.924888,0.151176
0.605,4.377313,3.563263,0.152206
0.606,4.256659,3.564595,0.947545
0.607,4.458602,3.684397,0.311263
0.608,4.297047,3.644906,-0.479666
0.609,4.417957,3.724331,0.468268
0.61,4.458474,3.80553,0.304907
0.611,4.377569,3.362261,-0.005935
